Kim Jong-Un	North Korea, Executive Executive Office Government Major Party (In Government) Parties Elite (National) Major Party Government
High Ranking Military Personnel (Cote d'Ivoire)	Military Government
Military (Cote d'Ivoire)	Military Government
Police (Cote d'Ivoire)	Police Government
Royal Administration (Cote d'Ivoire)	Government
Armed Gang (Egypt)	Unidentified Forces
Citizen (Egypt)	General Population / Civilian / Social Social
Attacker (Egypt)	Criminals / Gangs Dissident
Giza	Egypt, Municipal Provincial Government Local
Defense / Security Ministry (Russia)	Defense / Security Ministry Executive Government
Business (Uruguay)	Business Social
Lawyer/Attorney (Uruguay)	Legal Social
M.S. Yadav	India, Executive Defense / Security Ministry Parties Elite (National) Major Party Government Opposition Major Party (Out Of Government)
Representatives (India)	Legislative / Parliamentary Government
Fars News	Iran, News Social Media
Government (Iran)	Government
Ebrahim Raisi	Iran, Nongovernmental Organizations / Activists Government Religious Government Charity NGOs
Florence Parly	France, Defense / Security Ministry Executive Government
France	France, Regional Diplomatic IGOs International Government Organization Regional
Benjamin Netanyahu	Israel, Executive Government Jews Executive Office Finance / Economy / Commerce / Trade Ministry Center Right International Ethnic Parties Cabinet Elite Ideological (National) Major Party Foreign Ministry
Likud	Israel, Parties (National) Major Party Center Right Ideological
Government (Palestinian Territory, Occupied)	Government
Citizen (Uzbekistan)	General Population / Civilian / Social Social
Government (Democratic Republic of Congo)	Government
Actor (Congo)	Elite
Yoweri Museveni	Uganda, Global Executive Executive Office Parties Global Diplomatic IGOs International Government Organization Elite (National) Major Party Government
Boko Haram	Nigeria, Dissident Insurgents International Religious Muslim
Military Personnel (China)	Military Government
The Herald	Zimbabwe, Executive Information / Communication / Transparency Ministry State Media Government
Professor (Australia)	Education Social
Government (Australia)	Government
Government (Afghanistan)	Government
Barack Obama	United States, Executive Upper House Executive Office Parties Legislative / Parliamentary Ideological Center Left (National) Major Party Government
Citizen (Hong Kong)	General Population / Civilian / Social Social
Mevlut Cavusoglu	Turkey, Executive Government Unicameral Legislative / Parliamentary Foreign Ministry
Government (Turkey)	Government
Armed Rebel (Ukraine)	Dissident Rebel
Militia (Ukraine)	Unidentified Forces
Ali Bongo Ondimba	Gabon, Executive Defense / Security Ministry Executive Office International Religious Parties National Religious Muslim Elite Social Religious Minority (National) Major Party Government
Citizen (Gabon)	General Population / Civilian / Social Social
Citizen (Congo)	General Population / Civilian / Social Social
Government (Congo)	Government
Ibrahim Boubacar Keïta	Mali, Executive Executive Office Unicameral Parties Legislative / Parliamentary Elite Ideological (National) Minor Party Center Left Government
Citizen (Mali)	General Population / Civilian / Social Social
Paul Biya	Cameroon, Executive Executive Office International Religious Catholic Parties Elite (National) Major Party Government
Mahmoud Abbas	Occupied Palestinian Territory, Executive Office Executive Elite Government
Head of Government (Austria)	Executive Regional Executive Office Regional Diplomatic IGOs International Government Organization Government
Rumen Radev	Bulgaria, Executive Executive Office Air Force Elite Military Government
Kersti Kaljulaid	Estonia, Global Executive Executive Office International Government Organization Elite Global Economic/Financial/Trade IGOs Government
Sebastian Kurz	Austria, Executive Government Executive Office Center Right Parties Elite Ideological (National) Major Party Foreign Ministry
Opposition Supporter (Russia)	Dissident Protestors / Popular Opposition / Mobs
Citizen (Russia)	General Population / Civilian / Social Social
Head of Government (Turkey)	Executive Office Executive Government
Binali Yildirim	Turkey, Executive Office Executive Government
Citizen (Vietnam)	General Population / Civilian / Social Social
Criminal (Brazil)	Criminals / Gangs Dissident
Professor (Hong Kong)	Education Social
Student (Hong Kong)	Education Social
Joseph Boakai	Liberia, Executive Business Executive Office Christian International Religious Parties Agricultural Business Social (National) Major Party Government
George Weah	Liberia, Executive Government Entertainment Executive Office International Ethnic Parties Kru Social (National) Major Party Foreign Ministry Media Print Entertainment
Head of Government (Zimbabwe)	Executive Office Executive Government
Government (Zimbabwe)	Government
Center for Human Rights (Malawi)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Government (Malawi)	Government
Central Reserve Police Force	India, Police Government
Yisra'el Katz	Israel, Executive Foreign Ministry Government
Ruling Party (Israel)	Government Major Party (In Government) (National) Major Party Parties
Executive Office of the President	United States, Executive Office Executive Government
Congress Party	India, Government Major Party (In Government) (National) Major Party Parties
Employee (India)	Labor Social
All Assam Students Union	India, Dissident Protestors / Popular Opposition / Mobs Education Social
R. Gandhi	India, Executive Office Executive Government
Raman Singh	India, Government
Syrian Arab News Agency	Syria, Executive Information / Communication / Transparency Ministry State Media Government
Bashar al-Assad	Syria, Executive National Ethnic National Ethnic Minority Executive Office International Religious Shia Parties National Religious Ideological Far Right Social Religious Minority (National) Major Party Government
Foreign Affairs (Israel)	Executive Foreign Ministry Government
Mike Pence	United States, Executive Executive Office Lower House Center Right Parties Local Legislative / Parliamentary Provincial Ideological (National) Major Party Government
Sadiq Khan	United Kingdom, Executive Parties Legislative / Parliamentary Elite Ideological Center Left (National) Major Party Government
Citizen (Rwanda)	General Population / Civilian / Social Social
Police (Uganda)	Police Government
Detainee (Uganda)	Dissident Protestors / Popular Opposition / Mobs
Police (United States)	Police Government
Citizen (Jordan)	General Population / Civilian / Social Social
Head of Government (Iran)	Executive Office Executive Government
Alassane Ouattara	Cote d'Ivoire, Executive Insurgents Regional Defense / Security Ministry Executive Office International Religious Parties Regional Economic/Financial/Trade IGOs International Government Organization Elite Ideological Muslim Dissident Centrist (National) Major Party Government
Citizen (Cote d'Ivoire)	General Population / Civilian / Social Social
Sigmar Gabriel	Germany, Executive Government Regional Executive Office Finance / Economy / Commerce / Trade Ministry Regional Diplomatic IGOs Science / Tech Ministry International Government Organization Elite Foreign Ministry
Rahul Gandhi	India, Government Major Party (In Government) (National) Major Party Government Parties
Military (Russia)	Military Government
Foreign Affairs (Russia)	Executive Foreign Ministry Government
Ministry (Australia)	Government
Saudi Arabian Defence Forces	Saudi Arabia, Military Government
Armed Gang (Saudi Arabia)	Unidentified Forces
Ali Abdullah Ayyoub	Syria, Defense / Security Ministry Executive Military Government
Bruno Le Maire	France, Industrial / Textiles / Mining Ministry Executive Government Regional Finance / Economy / Commerce / Trade Ministry Lower House Agriculture / Fishing / Forestry Ministry Regional Diplomatic IGOs Center Right Parties Legislative / Parliamentary Cabinet Elite Ideological International Government Organization (National) Major Party Foreign Ministry
Emmanuel Macron	France, Executive Office Executive Elite Government
Hamas	Occupied Palestinian Territory, International Religious Parties Muslim Dissident (National) Major Party Nongovernmental Organization (International)
Men (United Kingdom)	Regional Regional Diplomatic IGOs General Population / Civilian / Social International Government Organization Social
Children (Palestinian Territory, Occupied)	General Population / Civilian / Social Social
Fatah	Occupied Palestinian Territory, Parties Ideological Dissident Center Left (National) Major Party
Political Parties (India)	Parties
Huanqiu Shibao	China, Government Major Party (In Government) (National) Major Party Parties
Citizen (Zimbabwe)	General Population / Civilian / Social Social
Member of Parliament (Iraq)	Legislative / Parliamentary Government
Nuri al-Maliki	Iraq, Interior / Home Ministry Executive Defense / Security Ministry Executive Office Unicameral International Religious Shia Parties Legislative / Parliamentary Cabinet Elite Ideological Muslim (National) Major Party Government Fundamentalist
Government (Iraq)	Government
Armed Rebel (India)	Dissident Rebel
Bank (Russia)	Business Social
Andrej Babis	Czech Republic, Executive Executive Office Finance / Economy / Commerce / Trade Ministry Lower House Legislative / Parliamentary Elite Government
Robert Fico	Slovakia, Executive Executive Office Unicameral Parties Legislative / Parliamentary Elite Ideological Center Left (National) Major Party Government
Haaretz	Israel, News Print News Social Media
Government (Israel)	Government
Legislature (Australia)	Legislative / Parliamentary Government
Kim Beazley	Australia, Elite
Tony Abbott	Australia, Global Executive Executive Office Government Major Party (In Government) Parties Global Diplomatic IGOs Legislative / Parliamentary International Government Organization Elite Health Ministry (National) Major Party Government Opposition Major Party (Out Of Government)
Environment Department/Ministry (Philippines)	Executive Environment Ministry Government
Criminal (Philippines)	Criminals / Gangs Dissident
Christian (Egypt)	National Religious Christian International Religious Social
Police (Egypt)	Police Government
Peter Gajdos	Slovakia, Defense / Security Ministry Executive Government
Military (Slovakia)	Military Government
Citizen (Ukraine)	General Population / Civilian / Social Social
Military Personnel - Special (Democratic Republic of Congo)	Unidentified Forces Military Government
Citizen (Saudi Arabia)	General Population / Civilian / Social Social
Fighter Bomber (Saudi Arabia)	Military Government
Other Authorities / Officials (Iran)	Government
Cabinet / Council of Ministers / Advisors (Iraq)	Executive Cabinet Government
Legislature (Iraq)	Legislative / Parliamentary Government
Andrej Kiska	Slovakia, Executive Office Executive Elite Government
Citizen (Slovakia)	General Population / Civilian / Social Social
Foreign Affairs (Pakistan)	Executive Foreign Ministry Government
Foreign Affairs (United States)	Executive Foreign Ministry Government
David Hale	United States, Executive Foreign Ministry Government
Haider Al-Abadi	Iraq, Executive Executive Office Lower House International Religious Shia Parties Legislative / Parliamentary Muslim Ideological (National) Major Party Government Fundamentalist
Military (Iraq)	Military Government
Citizen (Kenya)	General Population / Civilian / Social Social
Government (Kenya)	Government
Nurse (Brazil)	Nongovernmental Organizations / Activists Medical / Health NGOs
James Michel	Seychelles, Executive Tourism Ministry Transportation Ministry Defense / Security Ministry Executive Office Parties Cabinet Elite Ideological Center Left (National) Major Party Government
Police (Brazil)	Police Government
Governor (Brazil)	Provincial Government Local
Member of Parliament (Slovakia)	Legislative / Parliamentary Government
Citizen (Indonesia)	General Population / Civilian / Social Social
Company - Owner or Operator (Indonesia)	Business Social
Police (Indonesia)	Police Government
Environmentalist (Indonesia)	Environment IGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International)
Head of Government (Indonesia)	Executive Office Executive Government
Political Parties (Indonesia)	Parties
City Mayor (Indonesia)	Municipal Government Local
Raul Jungmann	Brazil, Executive Far Left Defense / Security Ministry Lower House Parties Legislative / Parliamentary Ideological (National) Minor Party Government
Fire Brigade (Brazil)	Government
Muhammad VI	Morocco, Executive Office Executive Elite Government
Head of Government (Liberia)	Executive Office Executive Government
Bolivarian National Guard	Venezuela, Military Government
Children (Venezuela)	General Population / Civilian / Social Social
Head of Government (Palestinian Territory, Occupied)	Executive Office Executive Government
Protester (Hong Kong)	Dissident Protestors / Popular Opposition / Mobs
Head of Government (United States)	Executive Office Executive Government
Citizen (France)	Regional Regional Diplomatic IGOs General Population / Civilian / Social International Government Organization Social
Police (France)	Police Regional Regional Diplomatic IGOs International Government Organization Government
Mob (India)	Dissident Protestors / Popular Opposition / Mobs
Extremist (India)	Dissident Radicals / Extremists / Fundamentalists
Virbhadra Singh	India, Government
Citizen (Nepal)	General Population / Civilian / Social Social
Rajnath Singh	India, Interior / Home Ministry Executive Parties Legislative / Parliamentary (National) Major Party Government Opposition Major Party (Out Of Government)
Villager (India)	General Population / Civilian / Social Social
Children (India)	General Population / Civilian / Social Social
Khawaja Asif	Pakistan, Executive Government Water Ministry Defense / Security Ministry International Religious Center Right Parties Muslim Ideological (National) Major Party Foreign Ministry
Social Worker (India)	Nongovernmental Organizations / Activists Medical / Health NGOs
Nick Brown	United Kingdom, Executive Lower House Parties Legislative / Parliamentary Elite Ideological Center Left (National) Major Party Government
Member of Parliament (United Kingdom)	Regional Regional Diplomatic IGOs Legislative / Parliamentary International Government Organization Government
Member of Parliament (India)	Legislative / Parliamentary Government
Protester (Turkey)	Dissident Protestors / Popular Opposition / Mobs
B. Ramanath Rai	India, Government
Muslim (India)	National Religious Muslim International Religious Social
Men (India)	General Population / Civilian / Social Social
Indigenous People (India)	General Population / Civilian / Social Social
Detainee (India)	Dissident Protestors / Popular Opposition / Mobs
Medical Association (India)	Nongovernmental Organizations / Activists Medical / Health NGOs
Healthcare Facility (India)	Medical / Health Social
Thief (India)	Criminals / Gangs Dissident
Narendra Modi	India, Hindu Nationalist International Religious Radicals / Extremists / Fundamentalists Parties Elite Ideological Far Right Dissident (National) Major Party Opposition Major Party (Out Of Government)
Member of the Judiciary (Philippines)	Judicial Government
Rajya Sabha	India, Legislative / Parliamentary Government
Congress (India)	Legislative / Parliamentary Government
Activist (India)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Tejashwi Prasad Yadav	India, Provincial Government Local
Nitish Kumar	India, Parties Local Provincial Elite (National) Major Party Government Opposition Major Party (Out Of Government)
Vijay Rupani	India, Legislative / Parliamentary Provincial Government Local
Amit Shah	India, (National) Major Party Government Parties Opposition Major Party (Out Of Government)
Cabinet / Council of Ministers / Advisors (India)	Executive Cabinet Government
Company - Owner or Operator (India)	Business Social
Citizen (Bangladesh)	General Population / Civilian / Social Social
Defense Attorney (India)	Judicial Government
Company - Owner or Operator (United States)	Business Social
Sharad Pawar	India, Legislative / Parliamentary Elite Government
Pratibha Patil	India, Executive Executive Office Government Major Party (In Government) Parties Elite (National) Major Party Government
Shiv Sena	India, Hindu International Religious Parties (National) Major Party Opposition Major Party (Out Of Government)
Military (India)	Military Government
Sushma Swaraj	India, Executive Government Legislative / Parliamentary Elite Foreign Ministry
Left Party (India)	Parties
Domestic Affairs (India)	Interior / Home Ministry Executive Government
Media (Bosnia and Herzegovina)	Social Media
News Editor (Bosnia and Herzegovina)	Social Media
Fayez Mustafa Al-Serraj	Libya, Defense / Security Ministry Executive Executive Office Government
National Union Party (Libya)	Parties
Andrzej Duda	Poland, Executive Regional Executive Office Regional Diplomatic IGOs International Government Organization Elite Government
Mateusz Morawiecki	Poland, Executive Executive Office Finance / Economy / Commerce / Trade Ministry Women / Children / Social / Welfare / Development / Religion Ministry Elite Government
Viktor Orban	Hungary, Executive Executive Office Parties Elite Ideological Far Right (National) Major Party Government
Jean-Claude Juncker	Luxembourg, Executive Regional Executive Office Regional Diplomatic IGOs Parties International Government Organization Elite Government
Head of Government (Thailand)	Executive Office Executive Government
Citizen (Brazil)	General Population / Civilian / Social Social
Petr Pithart	Czech Republic, Upper House Regional Regional Diplomatic IGOs International Religious Catholic Parties Legislative / Parliamentary International Government Organization Elite Ideological (National) Minor Party Centrist Government
Government (Thailand)	Government
Sansern Kaewkamnerd	Thailand, Army Executive Information / Communication / Transparency Ministry Military Government
Military (Iran)	Military Government
Government (China)	Government
Business (China)	Business Social
Armed Gang (Nigeria)	Unidentified Forces
Religion (Nigeria)	National Religious Social
Militia (Yemen)	Unidentified Forces
Shahid Khaqan Abbasi	Pakistan, Executive Executive Office Energy Ministry Lower House Legislative / Parliamentary Elite Government
Dalit (India)	International Religious Hindu National Religious Social
Arun Jaitley	India, Executive Hindu Defense / Security Ministry Finance / Economy / Commerce / Trade Ministry International Religious Parties Elite (National) Major Party Government Opposition Major Party (Out Of Government)
Member of the Judiciary (India)	Judicial Government
Drug Gang (India)	Criminals / Gangs Dissident
Government Official (South Korea)	Government
Military (Venezuela)	Military Government
Citizen (Venezuela)	General Population / Civilian / Social Social
Other Authorities / Officials (Venezuela)	Government
Air Force (India)	Air Force Military Government
Education (India)	Education Social
Student (India)	Education Social
Ministry (India)	Government
Michel Temer	Brazil, Executive Executive Office Lower House Parties Legislative / Parliamentary Ideological Centrist (National) Major Party Government
Representatives (Brazil)	Legislative / Parliamentary Government
Citizen (Malaysia)	General Population / Civilian / Social Social
Business (Malaysia)	Business Social
Police (Myanmar)	Police Government
Police (Malaysia)	Police Government
Men (Malaysia)	General Population / Civilian / Social Social
Criminal (Malaysia)	Criminals / Gangs Dissident
Head of Government (Malaysia)	Executive Office Executive Government
Party Member (Malaysia)	Parties
Ministry (Malaysia)	Government
World Bank	International Government Organizations, Global Global Development IGOs International Government Organization Global Economic/Financial/Trade IGOs
International Monetary Fund	International Government Organizations, Global Global Economic/Financial/Trade IGOs International Government Organization
Government (Malaysia)	Government
Criminal (Iran)	Criminals / Gangs Dissident
Lok Sabha	India, Legislative / Parliamentary Government
Head of Government (South Korea)	Executive Office Executive Government
Ministry (South Korea)	Government
Sayyed Ali Khamenei	Iran, Executive Military Executive Office International Religious Parties Muslim Elite Ideological Far Right (National) Major Party Government Religious Government
Business (India)	Business Social
Transportation Ministry/Department (India)	Executive Government Transportation Ministry
Health Ministry (India)	Executive Government Health Ministry
Pinarayi Vijayan	India, Communist Parties Ideological (National) Major Party Opposition Major Party (Out Of Government)
Sushil Kumar Modi	India, Provincial Government Local
Sunil Kumar	India, Dissident Protestors / Popular Opposition / Mobs
Activist (Rashtriya Swayamsevak Sangh)	Hindu Nationalist International Religious Radicals / Extremists / Fundamentalists Ideological Far Right Dissident
Jamaat al Muslimeen	Trinidad and Tobago, International Religious Radicals / Extremists / Fundamentalists International Ethnic Dissident Afro-Caribbean Muslim
Legislature (India)	Legislative / Parliamentary Government
Angela Merkel	Germany, Executive Regional Executive Office Regional Diplomatic IGOs Christian International Religious Center Right Parties International Government Organization Elite Ideological (National) Major Party Government Protestant
Social Democratic Party	Tajikistan, Regional Regional Diplomatic IGOs Parties International Government Organization Ideological (National) Minor Party Center Left Centrist (National) Major Party
Party Member (Germany)	Regional Diplomatic IGOs International Government Organization Parties Regional
Citizen (Mexico)	General Population / Civilian / Social Social
State Media (Iran)	Executive Information / Communication / Transparency Ministry State Media Government
Government (France)	Regional Diplomatic IGOs International Government Organization Government Regional
John Howard	Australia, Executive Executive Office Parties Elite (National) Major Party Government Opposition Major Party (Out Of Government)
Armed Rebel (Yemen)	Dissident Rebel
